Product code,Description,Unit of Issue, Price 
A-4899.02S,Insert for Cort. Screw Fixation Clavicle,1, £51.96 
A-4951.07S,"3.5 TriLock Prox. Hum. Plate XL, 10H, L",1, £775.67 
A-4951.08S,"3.5 TriLock Prox. Hum. Plate XL, 10H, R",1, £775.67 
A-4951.09S,"3.5 TriLock Prox. Hum. Plate XL, 14H, L",1, £808.45 
A-4951.10S,"3.5 TriLock Prox. Hum. Plate XL, 14H, R",1, £808.45 
A-4656.68,2.0 TriLock Radial Head Rim Plate,1, £564.30 
A-4656.68S,2.0 TriLock Radial Head Rim Plate,1, £648.94 
A-4656.69,2.0 TriLock Radial Head Buttress Plate,1, £513.00 
A-4656.69S,2.0 TriLock Radial Head Buttress Plate,1, £589.95 
A-4656.80,2.0 TriLock Coronoid Plate Right,1, £501.60 
A-4656.80S,2.0 TriLock Coronoid Plate Right,1, £576.84 
A-4656.81,2.0 TriLock Coronoid Plate Left,1, £501.60 
A-4656.81S,2.0 TriLock Coronoid Plate Left,1, £576.84 
A-4856.01,2.8 TriLock Olecranon Tension Plate,1, £473.76 
A-4856.01S,2.8 TriLock Olecranon Tension Plate,1, £544.82 
A-4856.10,"2.8 TriLock Olecranon Plate, 7H, Right",1, £289.27 
A-4856.10S,"2.8 TriLock Olecranon Plate, 7H, Right",1, £332.69 
A-4856.11,"2.8 TriLock Olecranon Plate, 7H, Left",1, £289.27 
A-4856.11S,"2.8 TriLock Olecranon Plate, 7H, Left",1, £332.69 
A-4856.12,"2.8 TriLock Olecranon Plate, 7H,Straight",1, £244.34 
A-4856.12S,"2.8 TriLock Olecranon Plate, 7H,Straight",1, £281.01 
A-4856.13,"2.8 TriLock Olecranon Plate, 10H, Right",1, £308.27 
A-4856.13S,"2.8 TriLock Olecranon Plate, 10H, Right",1, £354.54 
A-4856.14,"2.8 TriLock Olecranon Plate, 10H, Left",1, £308.27 
A-4856.14S,"2.8 TriLock Olecranon Plate, 10H, Left",1, £354.54 
A-4856.15,"2.8 TriLock Olecranon Plate,10H,Straight",1, £263.34 
A-4856.15S,"2.8 TriLock Olecranon Plate,10H,Straight",1, £302.86 
A-4856.29,"2.8 TriLock Dist.Hum.Pl Medial, 17H, L",1, £893.00 
A-4856.29S,"2.8 TriLock Dist.Hum.Pl Medial, 17H, L",1," £1,026.95 "
A-4856.30,"2.8 TriLock Dist.Hum.Pl Medial, 17H, R",1, £893.00 
A-4856.30S,"2.8 TriLock Dist.Hum.Pl Medial, 17H, R",1," £1,026.95 "
A-4856.31,"2.8 TriLock Dist.Hum.Pl Medial, 12H, L",1, £665.00 
A-4856.31S,"2.8 TriLock Dist.Hum.Pl Medial, 12H, L",1, £764.75 
A-4856.32,"2.8 TriLock Dist.Hum.Pl Medial, 12H, R",1, £665.00 
A-4856.32S,"2.8 TriLock Dist.Hum.Pl Medial, 12H, R",1, £764.75 
A-4856.33,"2.8 TriLock Dist.Hum.Pl Medial, 10H, L",1, £570.00 
A-4856.33S,"2.8 TriLock Dist.Hum.Pl Medial, 10H, L",1, £655.50 
A-4856.34,"2.8 TriLock Dist.Hum.Pl Medial, 10H, R",1, £570.00 
A-4856.34S,"2.8 TriLock Dist.Hum.Pl Medial, 10H, R",1, £655.50 
A-4856.39,"2.8 TriLock Dist.Hum.Pl Lateral, 18H, L",1, £921.50 
A-4856.39S,"2.8 TriLock Dist.Hum.Pl Lateral, 18H, L",1," £1,059.72 "
A-4856.40,"2.8 TriLock Dist.Hum.Pl Lateral, 18H, R",1, £921.50 
A-4856.40S,"2.8 TriLock Dist.Hum.Pl Lateral, 18H, R",1," £1,059.72 "
A-4856.41,"2.8 TriLock Dist.Hum.Pl Lateral, 12H, L",1, £665.00 
A-4856.41S,"2.8 TriLock Dist.Hum.Pl Lateral, 12H, L",1, £764.75 
A-4856.42,"2.8 TriLock Dist.Hum.Pl Lateral, 12H, R",1, £665.00 
A-4856.42S,"2.8 TriLock Dist.Hum.Pl Lateral, 12H, R",1, £764.75 
A-4856.43,"2.8 TriLock Dist.Hum.Pl Lateral, 10H, L",1, £570.00 
A-4856.43S,"2.8 TriLock Dist.Hum.Pl Lateral, 10H, L",1, £655.50 
A-4856.44,"2.8 TriLock Dist.Hum.Pl Lateral, 10H, R",1, £570.00 
A-4856.44S,"2.8 TriLock Dist.Hum.Pl Lateral, 10H, R",1, £655.50 
A-4856.49,"2.8 TriLock Dist.Hum.Pl Post.lat. 21H, L",1, £945.25 
A-4856.49S,"2.8 TriLock Dist.Hum.Pl Post.lat. 21H, L",1," £1,087.08 "
A-4856.50,"2.8 TriLock Dist.Hum.Pl Post.lat, 21H, R",1, £945.25 
A-4856.50S,"2.8 TriLock Dist.Hum.Pl Post.lat, 21H, R",1," £1,087.08 "
A-4856.51,"2.8 TriLock Dist.Hum.Pl Post.lat. 17H, L",1, £807.50 
A-4856.51S,"2.8 TriLock Dist.Hum.Pl Post.lat. 17H, L",1, £928.62 
A-4856.52,"2.8 TriLock Dist.Hum.Pl Post.lat. 17H, R",1, £807.50 
A-4856.52S,"2.8 TriLock Dist.Hum.Pl Post.lat, 17H, R",1, £928.62 
A-4856.53,"2.8 TriLock Dist.Hum.Pl Post.lat. 15H, L",1, £712.50 
A-4856.53S,"2.8 TriLock Dist.Hum.Pl Post.lat. 15H, L",1, £819.37 
A-4856.54,"2.8 TriLock Dist.Hum.Pl Post.lat. 15H, R",1, £712.50 
A-4856.54S,"2.8 TriLock Dist.Hum.Pl Post.lat. 15H, R",1, £819.37 
A-4200.40,"1.5 Hook Plate 2 Hole, 2 Hooks, t0.6",1, £112.10 
A-4200.40S,"1.5 Hook Plate 2 Hole, 2 Hooks, t0.6",1, £128.91 
A-4200.41,"1.5 Hook Plate 4 Hole, 4 Hooks, t0.6",1, £152.00 
A-4200.41S,"1.5 Hook Plate 4 Hole, 4 Hooks, t0.6",1, £174.80 
A-4300.01,"1.2/1.5 Fixation Pl 4Hole Straight, t0.6",1, £53.29 
A-4300.01S,"1.2/1.5 Fixation Pl 4Hole Straight, t0.6",1, £61.27 
A-4300.03,"1.2/1.5 Fixation Pl 6Hole Straight, t0.6",1, £57.66 
A-4300.03S,"1.2/1.5 Fixation Pl 6Hole Straight, t0.6",1, £66.31 
A-4300.04,"1.2/1.5 Fixation Pl 16Hole Straight,t0.6",1, £115.23 
A-4300.04S,"1.2/1.5 Fixation Pl 16Hole Straight,t0.6",1, £132.52 
A-4300.05,"1.2/1.5 Fixation Pl 16Hole Straight,t0.6",1, £131.00 
A-4300.06,"1.2/1.5 Fixation Pl 16Hole Offset, t0.6",1, £136.13 
A-4300.10,"1.2/1.5 Fixation Plate 2/5 Hole T, t0.6",1, £88.54 
A-4300.10S,"1.2/1.5 Fixation Plate 2/5 Hole T, t0.6",1, £101.84 
A-4300.11,"1.2/1.5 Fixation Plate 3/5 Hole T, t0.6",1, £96.33 
A-4300.11S,"1.2/1.5 Fixation Plate 3/5 Hole T, t0.6",1, £110.77 
A-4300.12,"1.2/1.5 Fixation Plate 4/6 Hole T, t0.6",1, £96.33 
A-4300.12S,"1.2/1.5 Fixation Plate 4/6 Hole T, t0.6",1, £110.77 
A-4300.13,"1.2/1.5 Fixation Plate 2/4 Hole Y, t0.6",1, £84.93 
A-4300.13S,"1.2/1.5 Fixation Plate 2/4 Hole Y, t0.6",1, £97.66 
A-4300.20,"1.2/1.5 Fixation Pl 2/3Hole L Left, t0.6",1, £71.25 
A-4300.20S,"1.2/1.5 Fixation Pl 2/3Hole L Left, t0.6",1, £81.98 
A-4300.21,"1.2/1.5 Fixation Pl 2/3Hole L Right,t0.6",1, £71.25 
A-4300.21S,"1.2/1.5 Fixation Pl 2/3Hole L Right,t0.6",1, £81.98 
A-4300.50,"1.2/1.5 Grid Fix.Pl 2x2 Hole Rect., t0.6",1, £99.56 
A-4300.51,"1.2/1.5 GridFix.Pl 2x2H Rect.Narrow,t0.6",1, £99.56 
A-4300.51S,"1.2/1.5 GridFix.Pl 2x2H Rect.Narrow,t0.6",1, £114.47 
A-4300.54,"1.2/1.5 Grid Fix.Pl 2x2Hole Trapez.,t0.6",1, £99.56 
A-4300.54S,"1.2/1.5 Grid Fix.Pl 2x2Hole Trapez.,t0.6",1, £114.47 
A-4300.55,"1.2/1.5 Grid Fix.Pl 3x2 Hole Rect., t0.6",1, £141.45 
A-4300.55S,"1.2/1.5 Grid Fix.Pl 3x2 Hole Rect., t0.6",1, £162.64 
A-4300.56,"1.2/1.5 Grid Fix.Pl 3x2Hole Trapez.,t0.6",1, £141.45 
A-4300.56S,"1.2/1.5 Grid Fix.Pl 3x2Hole Trapez.,t0.6",1, £162.64 
A-4300.58,"1.2/1.5 GridFix.Pl 3x2H Trapez.Left,t0.6",1, £141.45 
A-4300.59,"1.2/1.5GridFix.Pl 3x2H Trapez.Right,t0.6",1, £141.45 
A-4300.60,"1.2/1.5 GridFix.Pl 3+3H Angled Left,t0.6",1, £141.45 
A-4300.60S,"1.2/1.5 GridFix.Pl 3+3H Angled Left,t0.6",1, £162.64 
A-4300.61,"1.2/1.5GridFix.Pl 3+3H Angled Right,t0.6",1, £141.45 
A-4300.61S,"1.2/1.5GridFix.Pl 3+3H Angled Right,t0.6",1, £162.64 
A-4300.62,"1.2/1.5 Grid Fix.Pl 4x2Hole Trapez.,t0.6",1, £144.68 
A-4300.62S,"1.2/1.5 Grid Fix.Pl 4x2Hole Trapez.,t0.6",1, £166.34 
A-4300.64,"1.2/1.5 GridFix.Pl 4x2H Angled Left,t0.6",1, £144.68 
A-4300.64S,"1.2/1.5 GridFix.Pl 4x2H Angled Left,t0.6",1, £166.34 
A-4300.65,"1.2/1.5GridFix.Pl 4x2H Angled Right,t0.6",1, £144.68 
A-4300.65S,"1.2/1.5GridFix.Pl 4x2H Angled Right,t0.6",1, £166.34 
A-4300.66,"1.2/1.5 Grid Fix.Pl 5x2Hole Trapez.,t0.6",1, £154.66 
A-4300.66S,"1.2/1.5 Grid Fix.Pl 5x2Hole Trapez.,t0.6",1, £177.84 
A-4300.67,"1.2/1.5 Grid Fix.Pl 6x2Hole Trapez.,t0.6",1, £159.60 
A-4300.67S,"1.2/1.5 Grid Fix.Pl 6x2Hole Trapez.,t0.6",1, £183.54 
A-4340.11,"1.2/1.5 Compr.Pl 3/8 Hole T Offset, t0.6",1, £115.23 
A-4340.12,"1.2/1.5 Compr.Pl 4/8 Hole T Offset, t0.6",1, £120.46 
A-4340.30,"1.2/1.5 Compr.CondylePl 5H Pin Left,t0.6",1, £94.81 
A-4340.30S,"1.2/1.5 Compr.CondylePl 5H Pin Left,t0.6",1, £109.06 
A-4340.31,"1.2/1.5Compr.CondylePl 5H Pin Right,t0.6",1, £94.81 
A-4340.31S,"1.2/1.5Compr.CondylePl 5H Pin Right,t0.6",1, £109.06 
A-4340.32,"1.2/1.5 Compr.HookPl 1Hole, 2Hooks, t0.6",1, £83.79 
A-4340.32S,"1.2/1.5 Compr.HookPl 1Hole, 2Hooks, t0.6",1, £96.33 
A-4350.01,"1.2/1.5 TriLock Pl 4Hole Straight, t0.8",1, £123.40 
A-4350.01S,"1.2/1.5 TriLock Pl 4Hole Straight, t0.8",1, £141.93 
A-4350.08,"1.2/1.5 TriLock Pl 8 Hole Straight, t0.8",1, £141.93 
A-4350.08S,"1.2/1.5 TriLock Pl 8 Hole Straight, t0.8",1, £163.21 
A-4350.14,"1.2/1.5 TriLock Plate 3/5 Hole T, t0.8",1, £145.82 
A-4350.14S,"1.2/1.5 TriLock Plate 3/5 Hole T, t0.8",1, £167.67 
A-4350.17,"1.2/1.5 TriLock Plate 3/7 Hole T, t0.8",1, £149.24 
A-4350.17S,"1.2/1.5 TriLock Plate 3/7 Hole T, t0.8",1, £171.66 
A-4350.23,"1.2/1.5 TriLock Rotation Pl 3/3Hole,t0.8",1, £140.41 
A-4350.23S,"1.2/1.5 TriLock Rotation Pl 3/3Hole,t0.8",1, £161.50 
A-4350.41,"1.2/1.5 TriLock Plate 5/4Hole T, t0.8",1, £142.40 
A-4350.41S,"1.2/1.5 TriLock Plate 5/4Hole T, t0.8",1, £163.78 
A-4350.50,"1.2/1.5 TriLock GridPl 2x2H Rect., t0.8",1, £141.45 
A-4350.50S,"1.2/1.5 TriLock GridPl 2x2H Rect., t0.8",1, £162.64 
A-4350.56,"1.2/1.5 TriLock GridPl 3x2H Trapez.,t0.8",1, £146.68 
A-4350.56S,"1.2/1.5 TriLock GridPl 3x2H Trapez.,t0.8",1, £168.72 
A-4350.62,"1.2/1.5 TriLock GridPl 4x2H Trapez.,t0.8",1, £167.58 
A-4350.62S,"1.2/1.5 TriLock GridPl 4x2H Trapez.,t0.8",1, £192.75 
A-4350.66,"1.2/1.5 TriLock GridPl 5x2H Trapez.,t0.8",1, £188.95 
A-4350.66S,"1.2/1.5 TriLock GridPl 5x2H Trapez.,t0.8",1, £217.26 
A-4350.80,"1.2/1.5 TriLock Scaphoid Plate 3x2H,t0.8",1, £167.58 
A-4350.80S,"1.2/1.5 TriLock Scaphoid Plate 3x2H,t0.8",1, £192.75 
A-4600.01,"2.0/2.3 Fixation Pl 4Hole Straight, t1.0",1, £54.43 
A-4600.01S,"2.0/2.3 Fixation Pl 4Hole Straight, t1.0",1, £62.60 
A-4600.03,"2.0/2.3 Fixation Pl 6Hole Straight, t1.0",1, £60.70 
A-4600.03S,"2.0/2.3 Fixation Pl 6Hole Straight, t1.0",1, £69.82 
A-4600.04,"2.0/2.3 Fixation Pl 16Hole Straight,t1.0",1, £125.68 
A-4600.04S,"2.0/2.3 Fixation Pl 16Hole Straight,t1.0",1, £144.49 
A-4600.05,"2.0/2.3 Fixation Pl 16Hole Straight,t1.0",1, £141.45 
A-4600.06,"2.0/2.3 Fixation Pl 16Hole Offset, t1.0",1, £146.68 
A-4600.10,"2.0/2.3 Fixation Plate 2/4 Hole T, t1.0",1, £94.24 
A-4600.10S,"2.0/2.3 Fixation Plate 2/4 Hole T, t1.0",1, £108.39 
A-4600.11,"2.0/2.3 Fixation Plate 3/4 Hole T, t1.0",1, £99.56 
A-4600.11S,"2.0/2.3 Fixation Plate 3/4 Hole T, t1.0",1, £114.47 
A-4600.13,"2.0/2.3 Fixation Plate 2/5 Hole Y, t1.0",1, £115.23 
A-4600.13S,"2.0/2.3 Fixation Plate 2/5 Hole Y, t1.0",1, £132.52 
A-4600.20,"2.0/2.3 Fixation Pl 2/4Hole L Left, t1.0",1, £87.97 
A-4600.20S,"2.0/2.3 Fixation Pl 2/4Hole L Left, t1.0",1, £101.17 
A-4600.21,"2.0/2.3 Fixation Pl 2/4Hole L Right,t1.0",1, £87.97 
A-4600.21S,"2.0/2.3 Fixation Pl 2/4Hole L Right,t1.0",1, £101.17 
A-4600.51,"2.0/2.3 Grid Fix.Pl 2x2 Hole Rect., t1.0",1, £100.51 
A-4600.52,"2.0/2.3 GridFix.Pl 2x2H Trapez.Left,t1.0",1, £100.51 
A-4600.53,"2.0/2.3GridFix.Pl 2x2H Trapez.Right,t1.0",1, £100.51 
A-4600.54,"2.0/2.3 Grid Fix.Pl 2x2Hole Trapez.,t1.0",1, £100.51 
A-4600.55,"2.0/2.3 Grid Fix.Pl 3x2 Hole Rect., t1.0",1, £146.68 
A-4600.56,"2.0/2.3 Grid Fix.Pl 3x2Hole Trapez.,t1.0",1, £146.68 
A-4600.56S,"2.0/2.3 Grid Fix.Pl 3x2Hole Trapez.,t1.0",1, £168.72 
A-4600.58,"2.0/2.3 GridFix.Pl 3x2H Trapez.Left,t1.0",1, £146.68 
A-4600.59,"2.0/2.3GridFix.Pl 3x2H Trapez.Right,t1.0",1, £146.68 
A-4600.60,"2.0/2.3 GridFix.Pl 3+3H Angled Left,t1.0",1, £146.68 
A-4600.60S,"2.0/2.3 GridFix.Pl 3+3H Angled Left,t1.0",1, £168.72 
A-4600.61,"2.0/2.3GridFix.Pl 3+3H Angled Right,t1.0",1, £146.68 
A-4600.61S,"2.0/2.3GridFix.Pl 3+3H Angled Right,t1.0",1, £168.72 
A-4600.62,"2.0/2.3 Grid Fix.Pl 4x2Hole Trapez.,t1.0",1, £151.90 
A-4600.62S,"2.0/2.3 Grid Fix.Pl 4x2Hole Trapez.,t1.0",1, £174.70 
A-4600.64,"2.0/2.3 GridFix.Pl 4x2H Angled Left,t1.0",1, £157.13 
A-4600.65,"2.0/2.3GridFix.Pl 4x2H Angled Right,t1.0",1, £157.13 
A-4600.66,"2.0/2.3 Grid Fix.Pl 5x2Hole Trapez.,t1.0",1, £164.63 
A-4600.66S,"2.0/2.3 Grid Fix.Pl 5x2Hole Trapez.,t1.0",1, £189.33 
A-4600.67,"2.0/2.3 Grid Fix.Pl 6x2Hole Trapez.,t1.0",1, £169.57 
A-4600.67S,"2.0/2.3 Grid Fix.Pl 6x2Hole Trapez.,t1.0",1, £195.03 
A-4640.11,"2.0/2.3 Compr.Pl 3/8 Hole T Offset, t1.0",1, £125.68 
A-4640.12,"2.0/2.3 Compr.Pl 4/8 Hole T Offset, t1.0",1, £131.00 
A-4640.30,"2.0/2.3 Compr.CondylePl 6H Pin Left,t1.0",1, £96.33 
A-4640.30S,"2.0/2.3 Compr.CondylePl 6H Pin Left,t1.0",1, £110.77 
A-4640.31,"2.0/2.3Compr.CondylePl 6H Pin Right,t1.0",1, £96.33 
A-4640.31S,"2.0/2.3Compr.CondylePl 6H Pin Right,t1.0",1, £110.77 
A-4645.01,"2.0/2.3 MC Compr.Pl 4 Hole Straight,t1.3",1, £78.56 
A-4645.01S,"2.0/2.3 MC Compr.Pl 4 Hole Straight,t1.3",1, £90.34 
A-4645.02,"2.0/2.3 MC Compr.Pl 5 Hole Straight,t1.3",1, £89.11 
A-4645.02S,"2.0/2.3 MC Compr.Pl 5 Hole Straight,t1.3",1, £102.50 
A-4645.03,"2.0/2.3 MC Compr.Pl 6 Hole Straight,t1.3",1, £100.51 
A-4645.03S,"2.0/2.3 MC Compr.Pl 6 Hole Straight,t1.3",1, £115.61 
A-4645.08,"2.0/2.3 MC Compr.Pl 8 Hole Straight,t1.3",1, £110.01 
A-4645.08S,"2.0/2.3 MC Compr.Pl 8 Hole Straight,t1.3",1, £126.54 
A-4645.10,"2.0/2.3 MC Compr.Plate 2/4 Hole T, t1.3",1, £102.60 
A-4645.10S,"2.0/2.3 MC Compr.Plate 2/4 Hole T, t1.3",1, £117.99 
A-4645.16,"2.0/2.3 MC Compr.Plate 2/8 Hole T, t1.3",1, £112.10 
A-4645.16S,"2.0/2.3 MC Compr.Plate 2/8 Hole T, t1.3",1, £128.91 
A-4645.20,"2.0/2.3 MC Compr.Pl 2/4Hole L Left, t1.3",1, £102.60 
A-4645.20S,"2.0/2.3 MC Compr.Pl 2/4Hole L Left, t1.3",1, £117.99 
A-4645.21,"2.0/2.3 MC Compr.Pl 2/4H L Right, t1.3",1, £102.60 
A-4645.21S,"2.0/2.3 MC Compr.Pl 2/4H L Right, t1.3",1, £117.99 
A-4645.22,"2.0/2.3 MC Compr.Pl 2/8Hole L Left, t1.3",1, £141.45 
A-4645.22S,"2.0/2.3 MC Compr.Pl 2/8Hole L Left, t1.3",1, £162.64 
A-4645.23,"2.0/2.3 MC Compr.Pl 2/8H L Right, t1.3",1, £141.45 
A-4645.23S,"2.0/2.3 MC Compr.Pl 2/8H L Right, t1.3",1, £162.64 
A-4650.03,"2.0/2.3 TriLock Pl 6 Hole Straight, t1.0",1, £119.70 
A-4650.03S,"2.0/2.3 TriLock Pl 6 Hole Straight, t1.0",1, £137.65 
A-4650.10,"2.0/2.3 TriLock Plate 2/4 Hole T, t1.0",1, £136.13 
A-4650.10S,"2.0/2.3 TriLock Plate 2/4 Hole T, t1.0",1, £156.56 
A-4650.11,"2.0/2.3 TriLock Plate 3/4 Hole T, t1.0",1, £141.45 
A-4650.11S,"2.0/2.3 TriLock Platte, 3/4-Loch, T,t1.0",1, £162.64 
